Names,Innings,100s,50s,Runs,Average,Strike Rate
Rohit Sharma,32,6,7,1586,58.1703296703297,89.71
Shikhar Dhawan,32,4,4,1317,42.4166666666667,95.35
Virat Kohli,25,9,4,1813,94.5505050505051,98.425
Ambati Rayudu,20,1,4,639,43.4375,83.02
MS Dhoni,21,0,4,602,53.375,74.83
Kedar Jadhav,14,0,2,377,45.9166666666667,92.815
Hardik Pandya,8,0,0,129,22.05,116.21
KL Rahul,4,0,1,95,30.25,82.05
Dinesh Karthik,10,0,0,242,39.625,86.125
Ravindra Jadeja,8,0,0,121,17.9583333333333,70.46
Jason Roy,24,4,1,1019,51.5681818181818,122.75
Johnny Bairstow,26,4,3,1126,35.9204545454545,116.495
Joe Root,28,4,5,1090,47.5625,90.29
Eoin Morgan,26,1,9,1012,53,99.36
Ben Stokes,14,0,4,438,43.1904761904762,80.965
Jos Butler,22,3,4,882,60.974358974359,128.54
Moeen Ali,20,0,0,301,14.65625,74.97
Alex Hales,16,1,4,562,43.8269230769231,94.495
Chris Gayle,13,3,3,731,70.0555555555556,114.465
Darren Bravo,7,0,1,189,31.5,70.835
Shimron Hetmyer,22,4,2,868,55.4444444444444,121.335
Ashley Nurse,16,0,0,210,49.7142857142857,107.1
Jason Holder,18,0,3,453,24.875,88.925
Shai Hope,22,3,4,990,48.0288461538462,79.895
Kane Williamson,21,2,5,838,43.9555555555556,75.975
Colin De Grandhomme,12,0,1,229,25.4642857142857,141.595
Martin Guptill,20,4,2,887,49.2777777777778,88.49
Tom Latham,16,0,5,491,32.7909090909091,90.44
Colin Munro,21,0,3,453,22.2067307692308,110.36
Henry Nicholls,23,1,5,606,33.6666666666667,81.625
Mitchell Santner,11,0,2,285,32.1666666666667,87.985
Ross Taylor,21,3,8,1232,82.7053571428571,91.875
Aaron Finch,24,5,4,1127,48.8257575757576,85.43
Shaun Marsh,18,4,3,851,53.8809523809524,92.725
Glenn Maxwell,19,0,4,665,35.6038961038961,112.545
Marcus Stoinis,23,0,5,618,29.5865384615385,89.21
Alex Carey,17,0,1,429,30.9583333333333,83.39
Quinton De Kock,18,1,6,796,45.6625,101.115
Faf du Plessis,17,3,3,840,64.8333333333333,91.77
Hashim Amla,16,1,3,529,41.0681818181818,88.97
David Miller,18,1,2,526,41.1212121212121,93.105
Aiden Markram,17,0,1,437,59.3666666666667,87.275
Dwaine Pretorius,3,0,0,46,23,82.34
Andile Phehlukwayo,15,0,1,278,41.2857142857143,89.485
Tamim Iqbal,15,2,6,694,44.4166666666667,52.06
Mahmudullah,19,0,3,455,22.1153846153846,62.34
Mushfiqur Rahim,22,1,5,795,34.4166666666667,71.16
Sowmya Sarkar,9,1,1,307,29.9166666666667,107.575
Liton Das,15,1,1,343,14.6666666666667,51.245
Mohammad Mithun,12,0,4,355,44.5,75.36
Sabbir Rahman,10,1,0,227,32.0833333333333,91.25
Mohammad Saifuddin,6,0,1,159,31.8333333333333,65.995
Mehidy Hasan,12,0,0,205,22.1666666666667,83.19
Gulbadin Naib,16,0,2,346,24.7777777777778,65.58
Rashid Khan,16,0,2,288,36.6111111111111,106.31
Mohammad Shahzad,21,1,4,661,26.8529411764706,78.24
Mohammad Nabi,21,0,4,593,31.6833333333333,82.25
Asghar Afghan,17,0,4,454,48.030303030303,76.17
Hazratullah Zazai,6,0,1,155,21.25,120.42
Rahmat Shah,24,1,7,831,29.9,66.99
Hashmatullah Shahidi,11,0,5,425,41.4166666666667,64.74
Nazibullah Zadran,17,1,3,506,53.9722222222222,98.37
Samiullah Shenwari,10,0,0,135,11.9166666666667,77.18
Babar Azam,22,1,3,704,42.5535714285714,82.255
Imam-ul-Haq,21,4,5,1006,51.4204545454545,79.84
Fakhar Zaman,22,2,7,1042,50.3538461538461,91.275
Sarfaraz Ahmed,17,0,2,292,24.2,76.28
Shoaib Malik,21,0,3,556,29.0595238095238,78.935
Mohammad Hafeez,12,0,4,343,38.6904761904762,89.48
Faheem Ashraf,11,0,0,126,13,85.195
Haris Sohail,9,2,3,477,59.625,81.51
Shadab Khan,14,0,2,228,24.5625,60.825
Imad Wasim,8,0,2,281,82.75,103.065
Kusal Mendes,22,0,3,470,23.2142857142857,86.7
Dhananjaya De Silva,14,0,1,346,28.2571428571429,80.105
Niroshan Dickwella,18,0,4,562,29.5416666666667,103.705
Kusal Perera,16,1,3,557,35.6818181818182,92.975
Thisara Perera,23,1,3,695,34.7916666666667,123.84
