Names,Overs,Runs Conceded,Wickets,4 Wicket Hauls,Average,Strike Rate,Economy Rate
Kedar Jadhav,89,455,11,0,41.36363636,48.62636364,5.112359551
Hardik Pandya,92.2,506,9,0,56.22222222,61.56911111,5.488069414
Bhuvneshwar Kumar,182.1,962,30,1,32.06666667,36.4807,5.282811642
Kuldeep Yadav,271.2,1347,65,5,20.72307692,25.07556923,4.966814159
Yuzvendra Chahal,217.1,1095,45,3,24.33333333,28.99491111,5.043758637
Jasprit Bumrah,149,610,29,1,21.03448276,30.87896552,4.093959732
Ravindra Jadeja,143.5,684,19,2,36,45.39131579,4.766550523
Mohammed Shami,117.4,642,22,0,29.18181818,32.07154545,5.468483816
Ben Stokes,87,537,10,0,53.7,52.287,6.172413793
Moeen Ali,214.5,1167,29,1,40.24137931,44.45327586,5.440559441
Adil Rashid,238,1341,51,3,26.29411765,28.04666667,5.634453782
Chris Woakes,125,712,22,0,32.36363636,34.14772727,5.696
Mark Wood,165,979,20,1,48.95,49.5825,5.933333333
Liam Plunkett,103.3,655,20,2,32.75,31.04165,6.340755082
Tom Curran,82.5,495,17,1,29.11764706,29.16617647,6
Ashley Nurse,149.2,778,13,0,59.84615385,68.97630769,5.214477212
Jason Holder,156.4,917,28,2,32.75,33.57014286,5.863171355
Devendra Bishoo,111,617,7,0,88.14285714,95.30142857,5.558558559
Oshane Thomas,57.1,413,15,1,27.53333333,22.87806667,7.232924694
Trent Boult,201.6,1068,43,2,24.8372093,28.17711628,5.297619048
Colin De Grandhomme,95.2,443,10,0,44.3,57.2152,4.653361345
Lockie Ferguson,153,817,34,3,24.02941176,27.045,5.339869281
Matt Henry,84.2,450,15,2,30,33.73613333,5.344418052
Mitchell Santner,113.5,549,12,0,45.75,56.84458333,4.837004405
Ish Sodhi,106.8,622,20,1,31.1,32.0934,5.823970037
Tim Southee,131.5,740,18,1,41.11111111,43.90638889,5.627376426
Marcus Stoinis,141.5,899,21,0,42.80952381,40.49595238,6.35335689
Pat Cummins,111.2,510,25,3,20.4,26.73248,4.586330935
Nathan Lyon,117,561,9,0,62.33333333,78.13,4.794871795
Adam Zampa,159.4,883,20,1,44.15,47.8997,5.539523212
Jhye Richardson,108,632,24,1,26.33333333,27.045,5.851851852
Nathan Coulter-Nile,47.2,290,11,0,26.36363636,25.78836364,6.144067797
Glenn Maxwell,86,488,5,0,97.6,103.372,5.674418605
Kagiso Rabada,201.1,976,36,2,27.11111111,33.57252778,4.853306813
Imran Tahir,142.4,649,24,1,27.04166667,35.65933333,4.55758427
Lungi Ngidi,137.6,736,34,2,21.64705882,24.32282353,5.348837209
Andile Phehlukwayo,144.4,808,31,1,26.06451613,27.99496774,5.595567867
Dale Steyn,72.3,294,16,0,18.375,27.1576875,4.066390041
Tabraiz Shamsi,84.3,470,12,1,39.16666667,42.22025,5.575326216
Dwaine Pretorius,53,258,7,0,36.85714286,45.50428571,4.867924528
Jean-Paul Duminy,57,316,5,0,63.2,68.514,5.543859649
Rubel Hossain,109.2,560,24,1,23.33333333,27.3455,5.128205128
Mashrafe Mortaza,188.3,927,27,1,34.33333333,41.91418519,4.92299522
Mustafizur Rahman,175,797,33,1,24.15151515,31.87121212,4.554285714
Mohammad Saifuddin,65,327,7,0,46.71428571,55.80714286,5.030769231
Mehidy Hasan,158.1,662,20,1,33.1,47.50905,4.187223276
Mohammad Nabi,207.7,861,28,0,30.75,44.58132143,4.145402022
Rashid Khan,213,831,53,3,15.67924528,24.15339623,3.901408451
Mujeeb Ur Rahman,226,843,44,2,19.15909091,30.86954545,3.730088496
Shoaib Malik,40.3,190,2,0,95,121.1015,4.714640199
Mohammad Hafeez,26,119,1,0,119,156.26,4.576923077
Faheem Ashraf,115.6,541,17,1,31.82352941,40.868,4.679930796
Shadab Khan,174.1,820,28,3,29.28571429,37.36932143,4.709936818
Imad Wasim,91,456,5,0,91.2,109.382,5.010989011
Hasan Ali,135.1,742,21,0,35.33333333,38.66433333,5.492227979
Shaheen Afridi,75.5,361,19,2,19,23.88184211,4.781456954
Mohammad Amir,98,446,5,0,89.2,117.796,4.551020408
Lasith Malinga,113,644,21,2,30.66666667,32.33952381,5.699115044
Thisara Perera,130.8,794,31,3,25.61290323,25.35832258,6.070336391
